#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
440,"Everybody Dies Young - Original Mix","Sakro",0,126,"minimal tech house","Dance/Electronic","Every Body Dies Young",2016-01-04,7:10,82,56,1,94,36,20,10,-9,G Major,4,2022-06-09,5HPxjFO8BDq9XSo6Bgg0Ey,"La Vie En Rose",9B,https://p.scdn.co/mp3-preview/aa72beee6ca0d33118ec7c3b8f6079750298b6a7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851aafc22dda30fb7975caf3d22
441,"Armonia","Michel Degen,Mikhu",19,124,"swiss house, ","Dance/Electronic","Armonia",2018-06-04,7:19,81,79,1,96,17,0,10,-11,B Minor,4,2022-06-09,1KgaBMurbJva0HPZW0txey,"Samani",10A,https://p.scdn.co/mp3-preview/837dd2d821ff8f0242d278b70c30fbb226b31670?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d2b91b4fa93197034f430bad
442,"Fleur","B77",0,120,"","","Fleur",2018-10-12,5:03,77,60,54,93,24,0,10,-7,A#/B♭ Major,4,2022-06-09,2jcBhcmmAV2Adu8WjazBpq,"B77",6B,,https://i.scdn.co/image/ab67616d000048517f598e2cfded6fae98c8eff1
443,"Oldtown Dub","Niles Cooper",8,125,"","","Notes from the Underground",2021-02-26,6:07,79,91,0,92,30,0,0,-7,C♯/D♭ Major,4,2022-06-09,6GgMMq258RPMHOkZF4tA20,"Running Out Of Steam",3B,https://p.scdn.co/mp3-preview/1805dc627430ce2fb5447e9f89ac7098837ea927?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510d511428f1ade2af98516b47
444,"Careless","Coastal",27,90,"","","Careless",2019-11-16,2:40,62,24,95,90,32,10,0,-14,C Minor,4,2022-06-10,3v1O6lndJhBf7BXgnNs42x,"Coastal",5A,https://p.scdn.co/mp3-preview/6dc9c0673772988eeb6ca5bf51002f5d6f91e9b8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510a47c877f8e38b773fcc8cc1
445,"A Lot Like Love (feat. Haris) - Oliver Heldens Edit","The Voyagers,Haris,Oliver Heldens",26,125,"dance pop, edm, electro house, future house, house, pop dance, progressive electro house, progressive house, tropical house","Pop, Dance/Electronic","A Lot Like Love (feat. Haris) [Oliver Heldens Edit]",2014-09-29,4:46,82,82,0,21,45,0,0,-6,D Major,4,2022-06-11,3s1FyqufnQjZTqhfbMpSeb,"Spinnin' Deep",10B,https://p.scdn.co/mp3-preview/3064bf56d8742696416215566a0ae500cb9cdfac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851088d0090113b0605eef29bf2
446,"Always","The Frightnrs",24,72,"","","Always",2022-04-13,2:35,59,61,42,0,64,0,30,-7,B Minor,4,2022-06-11,0K8iQdeJiz7IGIHC56AoLk,"Daptone Records",10A,https://p.scdn.co/mp3-preview/db1958152cfb33e95b5ccc59bc1301105dbb573b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fc58bf2fbcfe397da9555f57
447,"Skeleton Boy","Friendly Fires",31,119,"alternative dance, dance rock, indietronica, new rave","Rock, Pop","Friendly Fires",2008-09-02,3:33,62,92,1,0,79,0,10,-4,C♯/D♭ Major,4,2022-06-12,0O2UcLBP75ugJ8DxskP8gz,"XL Recordings",3B,https://p.scdn.co/mp3-preview/dcbbeffaf44c14a9fbc7b30638646e6d9ef618ce?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b21d0781ea939e5fd79a0e00
448,"Evolution","Skyharbor",31,160,"djent, indian metal","Metal","Guiding Lights",2014-11-10,5:39,20,87,0,1,16,0,10,-6,C♯/D♭ Minor,4,2022-06-13,7BavNFkvJG52HHzyvzoxib,"BASICK RECORDS",12A,https://p.scdn.co/mp3-preview/980cf67ddc58be7ad9d3a3acdc2593835ee8b17e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851050cae73ed5ce8d8188c7290
449,"Indifferent","Destiny Potato",34,105,"djent","Metal","Lun",2014-05-13,3:40,54,91,0,0,38,0,20,-6,G#/A♭ Major,3,2022-06-13,0jEySbb3DKhppgcE5sc03q,"Bilo Recordings",4B,https://p.scdn.co/mp3-preview/8a71e2f57fcb4cf22359689d2e8d6550ad388385?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fd43d7b251936b0c693a0246
450,"Maybe Tomorrow","Moomin",39,122,"deep house, float house","Dance/Electronic","Yesterday's Tomorrows",2018-05-18,5:15,81,84,23,87,79,0,0,-11,A#/B♭ Minor,4,2022-06-17,1tXOHminAM6mmFsEsosfb5,"Wolf Music Recordings",3A,https://p.scdn.co/mp3-preview/bc321b7ab62d2ef81b0f66b495da3eb12fa1f244?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f51fc77ad9398cf7eae7a11c
451,"Show Me How","Men I Trust",77,166,"indie pop","Rock","Show Me How",2018-02-28,3:35,79,27,67,53,54,0,10,-12,F Major,4,2022-06-19,01TyFEZu6mHbffsVfxgrFn,"Indie",7B,https://p.scdn.co/mp3-preview/beadcd3b98ffd1fc24333de3238ba582147dc7fc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485140faefaf8ebe0e1564c60faa
452,"Tailwhip","Men I Trust",53,114,"indie pop","Rock","Tailwhip",2017-08-18,3:45,80,66,42,1,60,0,10,-9,A Minor,4,2022-06-19,2DoO0sn4SbUrz7Uay9ACTM,"Men i Trust",8A,https://p.scdn.co/mp3-preview/4831a53a5d835974261f5f2062dec1ca4a07dddf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b5d2a7e29794ff7e91305aa8
453,"Seven","Men I Trust",57,97,"indie pop","Rock","Seven",2018-09-06,3:45,69,42,67,15,83,0,10,-11,E Major,4,2022-06-19,2dwvxOHnQjndZLowIR6PiS,"Independent",12B,https://p.scdn.co/mp3-preview/a4146913af699c243e8808af5f1fe1eacd6a596b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851591fa5bb8ab3ec41455d6279
454,"No 5","Max Graef",17,118,"lo-fi house","Dance/Electronic","Bummse EP",2014-03-24,5:41,82,68,1,80,61,20,0,-10,E Minor,4,2022-06-20,0sH3gNXvZe1dw04YGS4SKd,"The Gym",9A,https://p.scdn.co/mp3-preview/835b83ca8a27aff7f34f5f58036cea554337155b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510a806db09dbb6ee21fab3da6
455,"All I Need","Verzache",48,146,"lo-fi chill","Pop","My Head is a Moshpit",2021-03-05,3:23,66,79,21,0,32,0,10,-5,A Major,4,2022-06-21,4K6e6JiR1KFohWedXSnvob,"Verzache Music, Inc.",11B,,https://i.scdn.co/image/ab67616d000048513db806083e3b649f1d969a4e
456,"True Love","Hovvdy",41,98,"austindie, bubblegrunge, dreamo, indie pop, indie rock, lo-fi indie, small room","Folk/Acoustic, Rock","True Love",2021-10-01,4:11,51,76,1,82,49,0,30,-5,F#/G♭ Major,4,2022-06-21,77YpxagBmCQV9cVzSi284F,"Grand Jury Music",2B,https://p.scdn.co/mp3-preview/ed5ea666106aefb8e370a280001e172f1597a2d8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d49d11965c4f3d6f656d80fa
457,"Cathedral","Hovvdy",33,170,"austindie, bubblegrunge, dreamo, indie pop, indie rock, lo-fi indie, small room","Folk/Acoustic, Rock","Heavy Lifter",2019-10-18,3:04,39,57,53,77,43,0,10,-8,F Major,4,2022-06-21,2472dNrjvduGFp6EsfZz0N,"Double Double Whammy",7B,https://p.scdn.co/mp3-preview/22e02c2d13a9828015c05ce186dea27bc539c6f4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485173344302a9204524848f6172
458,"Who Am I But Someone","Kate Bollinger",11,124,"charlottesville indie, indie pop","Folk/Acoustic, Rock","Who Am I But Someone",2022-03-08,2:42,56,50,60,14,79,0,10,-8,A Major,4,2022-06-21,5lnl3Ssiu8aYTDTmgdcItA,"Ghostly International",11B,,https://i.scdn.co/image/ab67616d000048519ff910b5da12a3b6461eb6da
459,"Yards / Gardens","Kate Bollinger",17,108,"charlottesville indie, indie pop","Folk/Acoustic, Rock","Yards / Gardens",2021-11-10,2:21,80,55,27,67,74,0,10,-8,A#/B♭ Major,4,2022-06-21,6suniHkw9kWbCWMta68RxR,"Ghostly International",6B,,https://i.scdn.co/image/ab67616d00004851d8928fb04545a8f0c39dddb1
460,"Cool It Kid","Sports Team",15,100,"english indie rock, indie rock, modern alternative rock, modern rock","Rock","Cool It Kid",2022-06-17,3:30,47,84,0,1,50,0,20,-5,F Major,4,2022-06-21,2KvjcVx96wldW06f1Mcqqx,"Universal-Island Records Ltd.",7B,https://p.scdn.co/mp3-preview/20dc55a45e57f636f3ccaf1d926bc084a20f67d3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851621c903204ca956898adefe7
461,"Freaks","Surf Curse",81,180,"dreamo, indie pop, indie surf, surf punk, vegas indie","Rock","Freaks",2021-05-15,2:27,35,94,0,63,41,0,0,-10,A Major,4,2022-06-21,7EkWXAI1wn8Ii883ecd9xr,"Surf Curse",11B,https://p.scdn.co/mp3-preview/63aca5dd766d1f3601324054fb82de05dce4a6a7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519efda673310de265a2c1cf1f
